,station_name,postal_code,sublocality,neighborhood,state
55,University Pl & E 14 St,,Manhattan,,NY
56,Lafayette St & E 8 St,,Manhattan,,NY
57,Broadway & W 24 St,,,,NY
58,Avenue D & E 3 St,,Manhattan,,NY
59,Carmine St & 6 Ave,,Manhattan,,NY
60,W 4 St & 7 Ave S,10014,Manhattan,,NY
61,Gallatin Pl & Livingston St,,Brooklyn,,NY
62,Greenwich Ave & Charles St,,Manhattan,,NY
63,Cleveland Pl & Spring St,,Manhattan,,NY
64,W 52 St & 9 Ave,,Manhattan,,NY
65,Metropolitan Ave & Meeker Ave,,,,NY
66,Nassau St & Navy St,11201,Brooklyn,,NY
67,E 33 St & 2 Ave,,Manhattan,,NY
68,W 17 St & 8 Ave,,Manhattan,,NY
69,E 19 St & 3 Ave,,Manhattan,,NY
70,Lafayette Ave & Fort Greene Pl,,Brooklyn,,NY
71,Metropolitan Ave & Bedford Ave,,Brooklyn,,NY
72,E 7 St & Avenue A,,Manhattan,,NY
73,W 45 St & 8 Ave,,Manhattan,,NY
74,Allen St & E Houston St,,Manhattan,,NY
75,6 Ave & Broome St,,Manhattan,,NY
76,Lexington Ave & E 29 St,,Manhattan,,NY
77,W 39 St & 9 Ave,,Manhattan,,NY
78,9 Ave & W 45 St,,Manhattan,,NY
79,Broadway & E 22 St,,,,NY
80,Great Jones St,10012,Manhattan,,NY
81,Atlantic Ave & Fort Greene Pl,,Queens,,NY
82,E 15 St & 3 Ave,,Manhattan,,NY
83,E 37 St & Lexington Ave,,Manhattan,,NY
84,E 47 St & 2 Ave,,Manhattan,,NY
85,Centre St & Chambers St,,Manhattan,,NY
86,9 Ave & W 22 St,,Manhattan,,NY
87,S 5 Pl & S 4 St,,Brooklyn,Williamsburg,NY
88,W 53 St & 10 Ave,,Manhattan,,NY
89,W 33 St & 7 Ave,,Manhattan,,NY
90,LaGuardia Pl & W 3 St,10012,Manhattan,,NY
91,E 17 St & Broadway,,,,NY
92,St James Pl & Oliver St,10038,Manhattan,,NY
93,Amsterdam Ave & W 73 St,,Manhattan,,NY
94,W 56 St & 6 Ave,,Manhattan,,NY
95,E 27 St & 1 Ave,,Manhattan,,NY
96,Pike St & Monroe St,10002,Manhattan,,NY
97,Columbia St & Rivington St,10002,Manhattan,,NY
98,W 49 St & 8 Ave,,Manhattan,,NY
99,E 84 St & 1 Ave,,Manhattan,,NY
100,Leonard St & Church St,,Manhattan,,NY
101,E 75 St & 3 Ave,,Manhattan,,NY
102,E 53 St & Lexington Ave,,Manhattan,,NY
103,Emerson Pl & Myrtle Ave,,,,NY
104,E 51 St & 1 Ave,,Manhattan,,NY
105,E 39 St & 3 Ave,,Manhattan,,NY
106,W 26 St & 8 Ave,,Manhattan,,NY
107,Broadway & Berry St,,Brooklyn,,NY
108,DeKalb Ave & Vanderbilt Ave,,Brooklyn,,NY
109,W 22 St & 10 Ave,,Manhattan,,NY
110,W 52 St & 11 Ave,,Manhattan,,NY
111,W 15 St & 7 Ave,,Manhattan,,NY
112,E 55 St & Lexington Ave,,Manhattan,,NY
113,W 31 St & 7 Ave,,Manhattan,,NY
