,station_name,start station latitude,start station longitude,latlng,neighborhood,postal_code,state,sublocality
275,Broadway & W 24 St,40.742354299999995,-73.98915076,"40.7423543,-73.98915076",Flatiron District,10010,NY,Manhattan
276,Pearl St & Hanover Square,40.7047177,-74.00926027,"40.7047177,-74.00926027",Financial District,10004,NY,Manhattan
277,John St & William St,40.70862144,-74.00722156,"40.70862144,-74.00722156",Financial District,10038,NY,Manhattan
278,Nassau St & Navy St,40.69839895,-73.98068914,"40.69839895,-73.98068914",Brooklyn Navy Yard,11201,NY,Brooklyn
279,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,"40.68753406,-73.97265183",Fort Greene,11205,NY,Brooklyn
280,W 26 St & 8 Ave,40.74734825,-73.99723551,"40.74734825,-73.99723551",Chelsea,10001,NY,Manhattan
281,Kent Ave & S 11 St,40.70827295,-73.96834101,"40.70827295,-73.96834101",Williamsburg,11249,NY,Brooklyn
282,W 43 St & 6 Ave,40.75527307,-73.98316936,"40.75527307,-73.98316936",Midtown West,10036,NY,Manhattan
283,E 47 St & Park Ave,40.75510267,-73.97498696,"40.75510267,-73.97498696",Midtown East,10167,NY,Manhattan
284,St Marks Pl & 1 Ave,40.72779126,-73.98564945,"40.72779126,-73.98564945",Ukrainian Village,10003,NY,Manhattan
285,W 38 St & 8 Ave,40.75466591,-73.99138152,"40.75466591,-73.99138152",Garment District,10018,NY,Manhattan
286,Clinton St & Grand St,40.71559509,-73.9870295,"40.71559509,-73.9870295",Lower East Side,10002,NY,Manhattan
287,W 34 St & 11 Ave,40.75594159,-74.0021163,"40.75594159,-74.0021163",Midtown,10001,NY,Manhattan
288,Madison St & Clinton St,40.71269042,-73.98776323,"40.71269042,-73.98776323",Two Bridges,10002,NY,Manhattan
289,Hanover Pl & Livingston St,40.68864636,-73.98263429,"40.68864636,-73.98263429",Downtown Brooklyn,11201,NY,Brooklyn
290,Wythe Ave & Metropolitan Ave,40.716887,-73.96319799999999,"40.716887,-73.963198",Williamsburg,11249,NY,Brooklyn
291,E 15 St & 3 Ave,40.734232,-73.986923,"40.734232,-73.986923",Gramercy Park,10003,NY,Manhattan
292,Lafayette St & E 8 St,40.73028666,-73.9907647,"40.73028666,-73.9907647",East Village,10003,NY,Manhattan
293,E 39 St & 3 Ave,40.7489006,-73.97604882,"40.7489006,-73.97604882",Murray Hill,10016,NY,Manhattan
294,Front St & Washington St,40.70255088,-73.98940236,"40.70255088,-73.98940236",Dumbo,11201,NY,Brooklyn
295,Broadway & W 55 St,40.7652654,-73.98192338,"40.7652654,-73.98192338",Midtown West,10019,NY,Manhattan
296,Broadway & W 49 St,40.76064679,-73.98442659,"40.76064679,-73.98442659",Theater District,10019,NY,Manhattan
297,3 Ave & Schermerhorn St,40.68683208,-73.9796772,"40.68683208,-73.9796772",Downtown Brooklyn,11217,NY,Brooklyn
298,W 20 St & 8 Ave,40.74345335,-74.00004031,"40.74345335,-74.00004031",Chelsea,10011,NY,Manhattan
299,6 Ave & Canal St,40.72243797,-74.00566443,"40.72243797,-74.00566443",Hudson Square,10013,NY,Manhattan
300,Broadway & W 32 St,40.74854862,-73.98808416,"40.74854862,-73.98808416",Korea Town,10001,NY,Manhattan
301,1 Ave & E 44 St,40.75001986,-73.96905301,"40.75001986,-73.96905301",Midtown East,10017,NY,Manhattan
302,West St & Chambers St,40.71754834,-74.01322069,"40.71754834,-74.01322069",Battery Park City,10282,NY,Manhattan
303,Washington Pl & 6 Ave,40.73224119,-74.00026394,"40.73224119,-74.00026394",Greenwich Village,10011,NY,Manhattan
304,Avenue D & E 12 St,40.72580614,-73.97422494,"40.72580614,-73.97422494",East Village,10009,NY,Manhattan
305,Great Jones St,40.72743423,-73.99379025,"40.72743423,-73.99379025",NoHo,10012,NY,Manhattan
306,Montague St & Clinton St,40.69424674,-73.99215922,"40.69424674,-73.99215922",Brooklyn Heights,11201,NY,Brooklyn
307,Washington St & Gansevoort St,40.739323,-74.008119,"40.739323,-74.008119",West Village,10014,NY,Manhattan
308,W 11 St & 6 Ave,40.73532427,-73.99800419,"40.73532427,-73.99800419",Greenwich Village,10011,NY,Manhattan
309,E 10 St & Avenue A,40.72740794,-73.98142006,"40.72740794,-73.98142006",Alphabet City,10009,NY,Manhattan
310,St James Pl & Oliver St,40.71307916,-73.99851193,"40.71307916,-73.99851193",Civic Center,10038,NY,Manhattan
311,Lexington Ave & E 26 St,40.74147286,-73.98320928,"40.74147286,-73.98320928",Rose Hill,10010,NY,Manhattan
312,Front St & Gold St,40.70224,-73.982578,"40.70224,-73.982578",Vinegar Hill,11201,NY,Brooklyn
313,Joralemon St & Adams St,40.69246277,-73.98963911,"40.69246277,-73.98963911",Downtown Brooklyn,11201,NY,Brooklyn
314,St Marks Pl & 2 Ave,40.7284186,-73.98713956,"40.7284186,-73.98713956",Ukrainian Village,10003,NY,Manhattan
315,7 Ave & Farragut St,40.69892054,-73.97332996,"40.69892054,-73.97332996",Brooklyn Navy Yard,11205,NY,Brooklyn
316,6 Ave & W 33 St,40.74901271,-73.98848395,"40.74901271,-73.98848395",Chelsea,10001,NY,Manhattan
317,South St & Gouverneur Ln,40.70355377,-74.00670227,"40.70355377,-74.00670227",Financial District,10005,NY,Manhattan
318,Washington Ave & Park Ave,40.69610226,-73.96751037,"40.69610226,-73.96751037",Clinton Hill,11205,NY,Brooklyn
319,Grand Army Plaza & Central Park S,40.764397100000004,-73.97371465,"40.7643971,-73.97371465",Midtown,10019,NY,Manhattan
320,W 45 St & 8 Ave,40.75929124,-73.98859651,"40.75929124,-73.98859651",Hell's Kitchen,10036,NY,Manhattan
321,Washington Square E,40.73049393,-73.99572140000001,"40.73049393,-73.9957214",Greenwich Village,10003,NY,Manhattan
322,E 58 St & 3 Ave,40.76095756,-73.96724467,"40.76095756,-73.96724467",Midtown East,10155,NY,Manhattan
323,2 Ave & E 58 St,40.76020258,-73.96478473,"40.76020258,-73.96478473",Midtown East,10022,NY,Manhattan
324,Canal St & Rutgers St,40.71427487,-73.98990025,"40.71427487,-73.98990025",Lower East Side,10002,NY,Manhattan
325,W 26 St & 10 Ave,40.749717753,-74.002950346,"40.749717753,-74.002950346",Chelsea,10001,NY,Manhattan
326,Little West St & 1 Pl,40.70569254,-74.01677685,"40.70569254,-74.01677685",Battery Park City,10004,NY,Manhattan
327,Fulton St & Rockwell Pl,40.687979,-73.978474,"40.687979,-73.978474",Fort Greene,11217,NY,Brooklyn
328,E 19 St & 3 Ave,40.73624527,-73.98473765,"40.73624527,-73.98473765",Gramercy Park,10003,NY,Manhattan
329,Marcus Garvey Blvd & Macon St,40.682601,-73.938037,"40.682601,-73.938037",Stuyvesant Heights,11216,NY,Brooklyn
330,Amsterdam Ave & W 73 St,40.779668090073116,-73.98093044757842,"40.7796680901,-73.9809304476",Upper West Side,10023,NY,Manhattan
331,E 41 St & Madison Ave,40.752165280621966,-73.97992193698882,"40.7521652806,-73.979921937",Midtown,10017,NY,Manhattan
332,Driggs Ave & N Henry St,40.72325,-73.94308000000001,"40.72325,-73.94308",Greenpoint,11222,NY,Brooklyn
333,Roebling St & N 4 St,40.714690000000004,-73.95739,"40.71469,-73.95739",Williamsburg,11211,NY,Brooklyn
334,Broadway & Whipple St,40.7016657,-73.9437303,"40.7016657,-73.9437303",Broadway Triangle,11206,NY,Brooklyn
335,E 84 St & 1 Ave,40.77565541,-73.95068615,"40.77565541,-73.95068615",Yorkville,10028,NY,Manhattan
336,E 40 St & Madison Ave,40.75159368451112,-73.98043155670166,"40.7515936845,-73.9804315567",Midtown,10016,NY,Manhattan
337,Greene Ave & Nostrand Ave,40.68833370000001,-73.950916,"40.6883337,-73.950916",Bedford-Stuyvesant,11216,NY,Brooklyn
338,McKibbin St & Manhattan Ave,40.70510918,-73.94407279,"40.70510918,-73.94407279",Williamsburg,11206,NY,Brooklyn
