,station_name,postal_code,sublocality,neighborhood,state
103,Emerson Pl & Myrtle Ave,11205,Brooklyn,Clinton Hill,NY
104,E 51 St & 1 Ave,10022,Manhattan,Midtown,NY
105,E 39 St & 3 Ave,10016,Manhattan,Midtown,NY
106,W 26 St & 8 Ave,10001,Manhattan,Midtown,NY
107,Broadway & Berry St,11249,Brooklyn,Williamsburg,NY
108,DeKalb Ave & Vanderbilt Ave,11205,Brooklyn,Clinton Hill,NY
109,W 22 St & 10 Ave,10011,Manhattan,Midtown,NY
110,W 52 St & 11 Ave,10019,Manhattan,Midtown,NY
111,W 15 St & 7 Ave,10011,Manhattan,Midtown,NY
112,E 55 St & Lexington Ave,10022,Manhattan,Midtown East,NY
113,W 31 St & 7 Ave,10001,Manhattan,Midtown,NY
114,W 14 St & The High Line,10014,Manhattan,Lower Manhattan,NY
115,W 74 St & Columbus Ave,10023,Manhattan,Upper West Side,NY
116,Mott St & Prince St,10012,Manhattan,Lower Manhattan,NY
117,Washington Pl & 6 Ave,10011,Manhattan,Lower Manhattan,NY
118,E 23 St & 1 Ave,10010,Manhattan,Midtown,NY
119,6 Ave & Canal St,10013,Manhattan,Lower Manhattan,NY
120,Shevchenko Pl & E 7 St,10003,Manhattan,Lower Manhattan,NY
121,N 12 St & Bedford Ave,11211,Brooklyn,Williamsburg,NY
122,6 Ave & W 33 St,10118,Manhattan,Midtown,NY
123,Broadway & W 29 St,10001,Manhattan,Midtown,NY
124,W 37 St & 5 Ave,10018,Manhattan,Midtown,NY
125,John St & William St,10038,Manhattan,Lower Manhattan,NY
126,Bayard St & Baxter St,10013,Manhattan,Lower Manhattan,NY
127,Lawrence St & Willoughby St,11201,Brooklyn,Downtown Brooklyn,NY
128,E 13 St & Avenue A,10009,Manhattan,Lower Manhattan,NY
129,E 56 St & Madison Ave,10022,Manhattan,Midtown,NY
130,E 20 St & 2 Ave,10010,Manhattan,Midtown,NY
131,Forsyth St & Canal St,10002,Manhattan,Lower East Side,NY
132,E 51 St & Lexington Ave,10022,Manhattan,Midtown,NY
133,Stanton St & Chrystie St,10002,Manhattan,Lower Manhattan,NY
134,Suffolk St & Stanton St,10002,Manhattan,Lower East Side,NY
135,Pershing Square North,10168,Manhattan,Midtown,NY
136,Greenwich Ave & 8 Ave,10011,Manhattan,Lower Manhattan,NY
137,Wythe Ave & Metropolitan Ave,11249,Brooklyn,Williamsburg,NY
138,DeKalb Ave & Hudson Ave,11201,Brooklyn,Downtown Brooklyn,NY
139,W 59 St & 10 Ave,10023,Manhattan,Upper West Side,NY
140,8 Ave & W 31 St,10001,Manhattan,Midtown,NY
141,8 Ave & W 33 St,10001,Manhattan,Midtown,NY
142,10 Ave & W 28 St,10001,Manhattan,Midtown,NY
143,Perry St & Bleecker St,10014,Manhattan,Lower Manhattan,NY
144,1 Ave & E 15 St,10009,Manhattan,Midtown,NY
145,W 52 St & 5 Ave,10019,Manhattan,Midtown,NY
146,9 Ave & W 18 St,10011,Manhattan,Midtown,NY
147,Canal St & Rutgers St,10002,Manhattan,Lower Manhattan,NY
148,E 3 St & 1 Ave,10009,Manhattan,East Village,NY
149,2 Ave & E 58 St,10022,Manhattan,Midtown,NY
150,Old Fulton St,10038,Brooklyn,Brooklyn Heights,NY
151,Lewis Ave & Kosciuszko St,,Brooklyn,Bedford-Stuyvesant,NY
152,Mercer St & Spring St,10012,Manhattan,Lower Manhattan,NY
153,E 2 St & 2 Ave,10003,Manhattan,Lower Manhattan,NY
154,Division St & Bowery,10038,Manhattan,Lower Manhattan,NY
155,W 29 St & 9 Ave,10001,Manhattan,Midtown,NY
156,Bushwick Ave & Powers St,11211,Brooklyn,Williamsburg,NY
157,Hope St & Union Ave,,Brooklyn,Williamsburg,NY
158,Riverside Dr & W 72 St,10023,Manhattan,Upper West Side,NY
159,W 43 St & 6 Ave,10036,Manhattan,Midtown,NY
160,Meserole Ave & Manhattan Ave,11222,Brooklyn,Greenpoint,NY
161,Frost St & Meeker St,11211,Brooklyn,Williamsburg,NY
162,Murray St & West St,10007,Manhattan,Lower Manhattan,NY
163,Clinton St & Grand St,10002,Manhattan,Lower East Side,NY
164,1 Ave & E 30 St,10016,Manhattan,Midtown,NY
165,E 9 St & Avenue C,10009,Manhattan,Lower Manhattan,NY
166,Allen St & Hester St,10002,Manhattan,Lower Manhattan,NY
167,11 Ave & W 27 St,10001,Manhattan,Midtown,NY
